Date_tweeted,username,display_name,tweet_link,Tweets,Number_of_Likes,Number_retweets,Qouted_times,Source_of_Tweet,number_of_followers,location
2023-02-23 03:52:28,my234Radio,234𝐑𝐚𝐝𝐢𝐨 🌍,https://twitter.com/my234Radio/status/1628603672253939712,"Now Playing on 234Radio, Lionel Richie - Hello.

Listen live on https://t.co/CtrpndTCI7

Download 234Radio mobile app on iOS and Android.

Elections have consequences. 
#VoteWisely #Nigeria #NigeriaDecides #NigeriaDecides2023",0,0,0,Radio.co now playing,10947,"UK, USA, South Africa, Nigeria"
2023-02-23 03:50:58,KemPatriot,KemKem,https://twitter.com/KemPatriot/status/1628603298273021952,"#TheFutureIsBAT 

⁦@officialABAT⁩ will touch all facets of our Economy, leaving non or no one behind. 

#TinubuIsWinning
#NigeriaDecides2023
#KemTwits https://t.co/c1SfxrszJR",2,1,0,Twitter for iPhone,24267,"Lagos, Nigeria"
2023-02-23 03:48:14,ObiEverything,Everything Peter Obi,https://twitter.com/ObiEverything/status/1628602608360255488,"Dear Obidients, we have a key senate race in the FCT. Hajiya @IretiKingibe is challenging Philip Aduda of the PDP who has been in NASS since 2003. Peter Obi needs candidates like Hajiya in the senate. While you vote PO, remember to vote#NigeriaDecides2023
 https://t.co/mnwIvaXVt8",4,1,0,Twitter for iPhone,12935,"Ibeju, Nigeria"
2023-02-23 03:47:16,DahiruMaiha,Usman dahiru barade maiha,https://twitter.com/DahiruMaiha/status/1628602364750962688,"Our Presidential Candidate, Asiwaju Bola Ahmed Tinubu signing the 2nd peace accord at the International Conference Centre (ICC), Abuja. Our commitment to peaceful and credible elections is unwavering. 

#TheFutureIsBAT
#NigeriaDecides2023
#RenewedHope2023 https://t.co/CJmhm2SXxk",0,0,0,Twitter for Android,63,"Adamawa, Nigeria"
2023-02-23 03:43:01,my234Radio,234𝐑𝐚𝐝𝐢𝐨 🌍,https://twitter.com/my234Radio/status/1628601293659860992,"Now Playing on 234Radio, CRAIG DAVID - Once in Lifetime.

Listen live on https://t.co/CtrpndTCI7

Download 234Radio mobile app on iOS and Android.

Elections have consequences. 
#VoteWisely #Nigeria #NigeriaDecides #NigeriaDecides2023",0,0,0,Radio.co now playing,10947,"UK, USA, South Africa, Nigeria"
2023-02-23 03:42:36,BigifNGO,Balm in Gilead Foundation 4 Sustainable Dev-BIGIF,https://twitter.com/BigifNGO/status/1628601191444713472,"There is overwhelming evidence that women's participation in politics is beneficial to both their own communities and societies.

Women come out to vote!
#NigeriaDecides2023 
#StopVAWIP 
@NLinNigeria 
@NDI 
@IrlEmbNigeria 
@Irish_Aid 
@EU_SDGN 
@FCDOGovUK 
@PLACNG 
@CanadaDev https://t.co/X8KECW0hDO",0,0,0,Twitter for Android,1913,Ekiti/Lagos/Ondo/Kwara/Oyo/Osu
2023-02-23 03:42:32,Books4Queens,Books For Queens,https://twitter.com/Books4Queens/status/1628601173447176192,"Banks have not been releasing enough of the new naira notes, leading to desperate and chaotic riots.  Why haven't any of the presidential candidates put together a solid plan on how they are going to fix this?  It isn't acceptable for people 2 live like this

#NigeriaDecides2023",0,0,0,Twitter Web App,4,Reading is essential 
2023-02-23 03:41:54,KemPatriot,KemKem,https://twitter.com/KemPatriot/status/1628601014361153538,"True Humans are rare in these days that  Jinns also put on clothes . 
To be there for someone who has been there for you ,is what true Humans do.
May the Almighty reward all those who are standing by and with @officialABAT .

#TinubuIsWinning 
#NigeriaDecides2023 
#KemTwits https://t.co/CbdQfLTkUa",11,2,0,Twitter for iPhone,24267,"Lagos, Nigeria"
2023-02-23 03:37:28,AbrahamIdokoko,Dr. Abraham Idokoko,https://twitter.com/AbrahamIdokoko/status/1628599897195700225,"@USinNigeria Stop interfering in Nigeria's elections. You never want anyone to get involve in US elections, right?

Let the Nigerian people decide their leaders, independently. And we are electing Mr. @PeterObi as #NigeriaDecides2023",0,0,0,Twitter for Android,283,
2023-02-23 03:35:47,BigifNGO,Balm in Gilead Foundation 4 Sustainable Dev-BIGIF,https://twitter.com/BigifNGO/status/1628599477027196931,"We visited farmsteads, villages and hard to rich areas.
Women's voices must be heard in elections
#NigeriaDecides2023 
@StopVAWIP 
@inecnigeria 
@womenfundng 
@awdf01 
@unwomenNG 
@IFES1987 
@Irish_Aid 
@NLinNigeria 
@ndiafrica 
@EU_SDGN 
@EUinNigeria 
@FranceInNigeria https://t.co/gixNTZLGdW",0,0,0,Twitter for Android,1913,Ekiti/Lagos/Ondo/Kwara/Oyo/Osu
